channel_form,channels,median_50hz_excess_db,mean_50hz_excess_db,candidate_rate,severe_rate,harmonic_100hz_rate
EEG ...-Ref,473,1.8208487639387327,8.53167165624396,0.2854122621564482,0.23678646934460887,0.07188160676532769
POL,3138,1.6542623487421433,7.4046782443544314,0.287125557680051,0.17877629063097514,0.052581261950286805
