sample_id,channel_id,channel_index,raw_channel_index,channel_role,sampling_rate_hz,duration_seconds,unique_value_count,minimum_stored_unit,maximum_stored_unit,standard_deviation_stored_unit,transition_rate,median_run_samples,dc_lsb_multiple_rate
test_000322,POL DC01,36,36,auxiliary_dc,2000.0000000000002,59.99999999999999,2,0.0,366.30029296875,182.73778328433744,0.3483195693297444,2.0,1.0
test_000322,POL DC02,37,37,auxiliary_dc,2000.0000000000002,59.99999999999999,2,-732.5999755859375,-366.29998779296875,176.2162318842128,0.3233110275918966,2.0,1.0
test_000322,POL DC03,38,38,auxiliary_dc,2000.0000000000002,59.99999999999999,2,-366.29998779296875,0.0,156.9797016096944,0.2665188876573971,2.0,1.0
test_000322,POL DC04,39,39,auxiliary_dc,2000.0000000000002,59.99999999999999,2,-366.29998779296875,0.0,180.11311381650256,0.33798614988458237,2.0,1.0
test_000322,POL DC05,40,40,auxiliary_dc,2000.0000000000002,59.99999999999999,3,-732.5999755859375,0.0,113.88393958632228,0.14805956716305968,2.0,1.0
test_000322,POL DC06,41,41,auxiliary_dc,2000.0000000000002,59.99999999999999,2,-366.29998779296875,0.0001500000071246177,175.9640183877883,0.3234026950224585,2.0,1.0
test_000322,POL DC07,42,42,auxiliary_dc,2000.0000000000002,59.99999999999999,3,-366.29998779296875,366.30029296875,70.34532037480687,0.061850515420961844,2.0,1.0
test_000322,POL DC08,43,43,auxiliary_dc,2000.0000000000002,59.99999999999999,3,-732.5999755859375,0.0,43.751302892152296,0.025416878473987284,2.0,1.0
test_000322,POL DC09,44,44,auxiliary_dc,2000.0000000000002,59.99999999999999,3,-732.5999755859375,0.0,45.130609679442756,0.027100225835215295,2.0,1.0
test_000322,POL DC10,45,45,auxiliary_dc,2000.0000000000002,59.99999999999999,3,-366.29998779296875,366.30029296875,34.89113124436527,0.01665013875115626,2.0,1.0
test_000322,POL DC11,46,46,auxiliary_dc,2000.0000000000002,59.99999999999999,3,-366.29998779296875,366.30029296875,127.23851430102285,0.1824931874432287,2.0,1.0
test_000322,POL DC12,47,47,auxiliary_dc,2000.0000000000002,59.99999999999999,3,-366.29998779296875,366.30029296875,35.67998093854016,0.01755014625121876,2.0,1.0
