channel_role,record_channels,records,unique_values_median,unique_values_min,unique_values_max,transition_rate_median,median_run_samples,dc_lsb_multiple_rate
auxiliary_dc,384,24,3.0,2,168,0.14018450153751283,2.0,1.0
seeg_ac_candidate,256,16,3042.0,346,16785,0.973912282602355,1.0,0.0053575382945228464
