network_window_seconds,channel_policy,sample_id,feature,signed_timing_error_seconds,absolute_timing_error_seconds,early_contrast,channels_used
1.0,all_channels,train_000027,propagation_participation,0.28159100000000237,0.28159100000000237,26.044971466064453,92
1.0,all_channels,train_000027,lagged_outflow,2.531591000000004,2.531591000000004,0.27805471420288086,92
1.0,all_channels,train_000027,network_density,0.28159100000000237,0.28159100000000237,4.710978172719479,92
1.0,all_channels,train_000027,mean_lagged_connectivity,2.531591000000004,2.531591000000004,0.8482408672571182,92
1.0,all_channels,train_000128,propagation_participation,-0.6462670000000017,0.6462670000000017,0.03383445739746094,124
1.0,all_channels,train_000128,lagged_outflow,0.2287329999999983,0.2287329999999983,0.19891393184661865,124
1.0,all_channels,train_000128,network_density,2.2287329999999983,2.2287329999999983,0.11739537306129932,124
1.0,all_channels,train_000128,mean_lagged_connectivity,-0.2712670000000017,0.2712670000000017,0.09639090672135353,124
1.0,all_channels,train_000211,propagation_participation,0.2898119999999995,0.2898119999999995,3.5620718002319336,163
1.0,all_channels,train_000211,lagged_outflow,0.2898119999999995,0.2898119999999995,0.08385050296783447,163
1.0,all_channels,train_000211,network_density,0.2898119999999995,0.2898119999999995,0.6744908951222897,163
1.0,all_channels,train_000211,mean_lagged_connectivity,0.4148119999999995,0.4148119999999995,-0.06985387578606606,163
1.0,all_channels,train_000274,propagation_participation,0.25118499999999955,0.25118499999999955,-0.050096482038497925,124
1.0,all_channels,train_000274,lagged_outflow,0.37618499999999955,0.37618499999999955,0.334530234336853,124
1.0,all_channels,train_000274,network_density,-0.9988150000000005,0.9988150000000005,-0.22753916308283806,124
1.0,all_channels,train_000274,mean_lagged_connectivity,2.0011849999999995,2.0011849999999995,-0.15624922513961792,124
1.0,all_channels,train_000430,propagation_participation,-0.7786880000000025,0.7786880000000025,-14.864490538835526,124
1.0,all_channels,train_000430,lagged_outflow,0.7213119999999975,0.7213119999999975,0.4206676483154297,124
1.0,all_channels,train_000430,network_density,1.8463119999999975,1.8463119999999975,0.25824321806430817,124
1.0,all_channels,train_000430,mean_lagged_connectivity,1.9713119999999975,1.9713119999999975,-0.5021322816610336,124
1.5,all_channels,train_000027,propagation_participation,0.28159100000000237,0.28159100000000237,26.044971466064453,92
1.5,all_channels,train_000027,lagged_outflow,0.28159100000000237,0.28159100000000237,0.6871955394744873,92
1.5,all_channels,train_000027,network_density,0.28159100000000237,0.28159100000000237,3.9301601201295853,92
1.5,all_channels,train_000027,mean_lagged_connectivity,0.28159100000000237,0.28159100000000237,1.945506221614778,92
1.5,all_channels,train_000128,propagation_participation,-0.6462670000000017,0.6462670000000017,0.03383445739746094,124
1.5,all_channels,train_000128,lagged_outflow,0.2287329999999983,0.2287329999999983,0.29994893074035645,124
1.5,all_channels,train_000128,network_density,2.2287329999999983,2.2287329999999983,-0.2525185728445649,124
1.5,all_channels,train_000128,mean_lagged_connectivity,0.2287329999999983,0.2287329999999983,0.48817985132336617,124
1.5,all_channels,train_000211,propagation_participation,0.2898119999999995,0.2898119999999995,3.5620718002319336,163
1.5,all_channels,train_000211,lagged_outflow,-0.08518800000000049,0.08518800000000049,0.30408287048339844,163
1.5,all_channels,train_000211,network_density,-0.08518800000000049,0.08518800000000049,0.4769037328660488,163
1.5,all_channels,train_000211,mean_lagged_connectivity,-0.08518800000000049,0.08518800000000049,0.5321285501122475,163
1.5,all_channels,train_000274,propagation_participation,0.25118499999999955,0.25118499999999955,-0.050096482038497925,124
1.5,all_channels,train_000274,lagged_outflow,0.5011849999999995,0.5011849999999995,0.45017290115356445,124
1.5,all_channels,train_000274,network_density,-0.9988150000000005,0.9988150000000005,-0.33518490195274353,124
1.5,all_channels,train_000274,mean_lagged_connectivity,0.5011849999999995,0.5011849999999995,-0.22461952455341816,124
1.5,all_channels,train_000430,propagation_participation,-0.7786880000000025,0.7786880000000025,-14.864490538835526,124
1.5,all_channels,train_000430,lagged_outflow,0.5963119999999975,0.5963119999999975,0.3019024133682251,124
1.5,all_channels,train_000430,network_density,-0.4036880000000025,0.4036880000000025,-0.0027814023196697235,124
1.5,all_channels,train_000430,mean_lagged_connectivity,0.5963119999999975,0.5963119999999975,-0.07527054473757744,124
2.0,all_channels,train_000027,propagation_participation,0.28159100000000237,0.28159100000000237,26.044971466064453,92
2.0,all_channels,train_000027,lagged_outflow,0.28159100000000237,0.28159100000000237,0.9434441328048706,92
2.0,all_channels,train_000027,network_density,0.28159100000000237,0.28159100000000237,4.039010033942759,92
2.0,all_channels,train_000027,mean_lagged_connectivity,0.28159100000000237,0.28159100000000237,1.2446272373199463,92
2.0,all_channels,train_000128,propagation_participation,-0.6462670000000017,0.6462670000000017,0.03383445739746094,124
2.0,all_channels,train_000128,lagged_outflow,1.2287329999999983,1.2287329999999983,0.517196774482727,124
2.0,all_channels,train_000128,network_density,2.3537329999999983,2.3537329999999983,-0.35588692128658295,124
2.0,all_channels,train_000128,mean_lagged_connectivity,0.7287329999999983,0.7287329999999983,0.11801989004015923,124
2.0,all_channels,train_000211,propagation_participation,0.2898119999999995,0.2898119999999995,3.5620718002319336,163
2.0,all_channels,train_000211,lagged_outflow,2.6648119999999995,2.6648119999999995,0.4615572690963745,163
2.0,all_channels,train_000211,network_density,2.6648119999999995,2.6648119999999995,0.3213326744735241,163
2.0,all_channels,train_000211,mean_lagged_connectivity,0.4148119999999995,0.4148119999999995,0.1287977248430252,163
2.0,all_channels,train_000274,propagation_participation,0.25118499999999955,0.25118499999999955,-0.050096482038497925,124
2.0,all_channels,train_000274,lagged_outflow,-0.8738150000000005,0.8738150000000005,0.3538074493408203,124
2.0,all_channels,train_000274,network_density,-0.49881500000000045,0.49881500000000045,-0.7296048402786255,124
2.0,all_channels,train_000274,mean_lagged_connectivity,-0.8738150000000005,0.8738150000000005,-0.16212385520339012,124
2.0,all_channels,train_000430,propagation_participation,-0.7786880000000025,0.7786880000000025,-14.864490538835526,124
2.0,all_channels,train_000430,lagged_outflow,-0.9036880000000025,0.9036880000000025,0.27486515045166016,124
2.0,all_channels,train_000430,network_density,-0.4036880000000025,0.4036880000000025,0.2216636762022972,124
2.0,all_channels,train_000430,mean_lagged_connectivity,-0.9036880000000025,0.9036880000000025,-0.3955121167236939,124
