feature,feature_scope,relative_time_bin,median,q25,q75,n
beta_power,channel_local,-4.875,-0.15884900093078613,-0.2822940945625305,0.2728477716445923,5
beta_power,channel_local,-4.75,-0.15884900093078613,-0.3697590231895447,0.023346006870269775,5
beta_power,channel_local,-4.625,0.0,-0.4322473406791687,0.5267834067344666,5
beta_power,channel_local,-4.5,0.023346006870269775,-0.7075441479682922,0.6578921675682068,5
beta_power,channel_local,-4.375,0.1338328719139099,-0.7075441479682922,0.8794410824775696,5
beta_power,channel_local,-4.25,-0.01281195878982544,-0.5799950957298279,0.8794410824775696,5
beta_power,channel_local,-4.125,0.06087136268615723,-0.01281195878982544,1.281749188899994,5
beta_power,channel_local,-4.0,0.09389883279800415,0.06467682123184204,0.10785901546478271,5
beta_power,channel_local,-3.875,0.15283238887786865,0.051883697509765625,0.15655404329299927,5
beta_power,channel_local,-3.75,0.09389883279800415,0.0,0.10785901546478271,5
beta_power,channel_local,-3.625,-0.11235177516937256,-0.21483755111694336,-0.11170703172683716,5
beta_power,channel_local,-3.5,-0.21483755111694336,-0.4726907014846802,-0.1530836820602417,5
beta_power,channel_local,-3.375,1.1400451064109802,-0.1530836820602417,1.762252390384674,5
beta_power,channel_local,-3.25,1.1400451064109802,-0.13892555236816406,2.011536657810211,5
beta_power,channel_local,-3.125,0.1182602047920227,-0.13892555236816406,0.7247852087020874,5
beta_power,channel_local,-3.0,-0.22084134817123413,-0.3742893636226654,0.18695300817489624,5
beta_power,channel_local,-2.875,-0.22084134817123413,-0.3742893636226654,-0.2134413719177246,5
beta_power,channel_local,-2.75,-0.34886616468429565,-0.37814319133758545,-0.21963965892791748,5
beta_power,channel_local,-2.625,-0.34886616468429565,-0.37814319133758545,-0.21963965892791748,5
beta_power,channel_local,-2.5,0.22724753618240356,-0.40741437673568726,0.27762240171432495,5
beta_power,channel_local,-2.375,0.27762240171432495,-0.40741437673568726,0.4230835437774658,5
beta_power,channel_local,-2.25,0.12150406837463379,-0.5316000580787659,0.16659945249557495,5
beta_power,channel_local,-2.125,0.11319994926452637,0.08401364088058472,0.1663159728050232,5
beta_power,channel_local,-2.0,0.08401364088058472,0.0,0.1663159728050232,5
beta_power,channel_local,-1.875,-0.49279406666755676,-0.8775216341018677,-0.12364405393600464,5
beta_power,channel_local,-1.75,-0.49279406666755676,-0.8775216341018677,0.12292951345443726,5
beta_power,channel_local,-1.625,0.12292951345443726,-0.8765197396278381,0.20425516366958618,5
beta_power,channel_local,-1.5,-0.34726184606552124,-0.6562148928642273,0.00040411949157714844,5
beta_power,channel_local,-1.375,-0.4692889451980591,-0.6562148928642273,0.00040411949157714844,5
beta_power,channel_local,-1.25,-0.06893348693847656,-0.1301705241203308,0.00040411949157714844,5
beta_power,channel_local,-1.125,-0.1301705241203308,-0.148260235786438,-0.06893348693847656,5
beta_power,channel_local,-1.0,-0.28498077392578125,-0.6953478455543518,-0.2640502452850342,5
beta_power,channel_local,-0.875,-0.40478360652923584,-0.753214418888092,-0.148260235786438,5
beta_power,channel_local,-0.75,-0.2561604976654053,-0.718109667301178,-0.06079334020614624,5
beta_power,channel_local,-0.625,-0.14844858646392822,-0.1847781538963318,0.14040595293045044,5
beta_power,channel_local,-0.5,-0.04135996103286743,-0.041488587856292725,0.3183872103691101,5
beta_power,channel_local,-0.375,0.14168423414230347,0.13649064302444458,0.29682809114456177,5
beta_power,channel_local,-0.25,0.14168423414230347,0.13649064302444458,0.29682809114456177,5
beta_power,channel_local,-0.125,-0.9439407885074615,-1.0238355994224548,0.042251765727996826,5
beta_power,channel_local,0.0,-0.9439407885074615,-1.228208839893341,-0.3692556917667389,5
beta_power,channel_local,0.125,-0.7188357766717672,-1.1387958824634552,-0.3692556917667389,5
beta_power,channel_local,0.25,-0.8016391545534134,-0.8225191235542297,-0.2209429144859314,5
beta_power,channel_local,0.375,-0.6887683272361755,-0.784230649471283,-0.5722952485084534,5
beta_power,channel_local,0.5,-0.5554967522621155,-0.5722952485084534,-0.26246321201324463,5
beta_power,channel_local,0.625,-0.25904232263565063,-0.4756946563720703,-0.25699949264526367,5
beta_power,channel_local,0.75,-0.04617267847061157,-0.10021471977233887,0.06848245859146118,5
beta_power,channel_local,0.875,-0.10021471977233887,-0.13816648721694946,-0.04617267847061157,5
beta_power,channel_local,1.0,-0.419428288936615,-0.5618361830711365,-0.38172727823257446,5
beta_power,channel_local,1.125,-0.38172727823257446,-0.419428288936615,-0.14396876096725464,5
beta_power,channel_local,1.25,-0.21834534406661987,-0.3755432963371277,0.20754116773605347,5
beta_power,channel_local,1.375,-0.21834534406661987,-0.3755432963371277,0.552097737789154,5
beta_power,channel_local,1.5,-0.21834534406661987,-0.3755432963371277,0.552097737789154,5
beta_power,channel_local,1.625,-0.5268158316612244,-0.530236542224884,0.34163016080856323,5
beta_power,channel_local,1.75,-0.5268158316612244,-0.7200406789779663,0.2894544005393982,5
beta_power,channel_local,1.875,-0.803072988986969,-0.8065595626831055,0.2894544005393982,5
beta_power,channel_local,2.0,-0.6509588956832886,-0.803072988986969,0.43809646368026733,5
beta_power,channel_local,2.125,-0.4841498136520386,-0.5293837189674377,0.9915511012077332,5
beta_power,channel_local,2.25,-0.4841498136520386,-0.5130842924118042,1.3070968985557556,5
beta_power,channel_local,2.375,-0.4835634231567383,-0.5130842924118042,1.3070968985557556,5
beta_power,channel_local,2.5,-0.43095093965530396,-0.7976546883583069,0.598714292049408,5
beta_power,channel_local,2.625,-0.28963446617126465,-0.7976546883583069,0.598714292049408,5
beta_power,channel_local,2.75,-0.28963446617126465,-0.30438220500946045,0.8471227288246155,5
beta_power,channel_local,2.875,0.3615427613258362,-0.30438220500946045,1.0885825753211975,5
beta_power,channel_local,3.0,0.3615427613258362,-0.5543215870857239,1.0885825753211975,5
beta_power,channel_local,3.125,-0.2102089524269104,-0.6841843724250793,1.0885825753211975,5
beta_power,channel_local,3.25,-0.2102089524269104,-0.6841843724250793,1.6688713431358337,5
beta_power,channel_local,3.375,-0.027300536632537842,-0.4248082637786865,1.0315588116645813,5
beta_power,channel_local,3.5,-0.3915662169456482,-0.41686126589775085,0.3718826174736023,5
beta_power,channel_local,3.625,-0.17549526691436768,-0.3643755316734314,0.5615310072898865,5
beta_power,channel_local,3.75,-0.17549526691436768,-0.3643755316734314,0.5615310072898865,5
