sample_id,feature,feature_scope,channel_set,onset_seconds,peak_change_seconds,signed_timing_error_seconds,absolute_timing_error_seconds,baseline_level,early_ictal_level,early_contrast,top10_overlap,top10_enrichment,channels_used
train_000027,line_length,channel_local,all,13.843409,15.625000000000002,1.7815910000000024,1.7815910000000024,0.7869833707809448,1.1275768280029297,0.34059345722198486,1.0,0.15171217918395996,92
train_000027,line_length,channel_local,line_clean,13.843409,15.625000000000002,1.7815910000000024,1.7815910000000024,0.7869833707809448,1.1275768280029297,0.34059345722198486,,,92
train_000027,rms_change,channel_local,all,13.843409,16.625000000000004,2.781591000000004,2.781591000000004,1.6510593891143799,2.106773853302002,0.45571446418762207,0.0,-0.11611795425415039,92
train_000027,rms_change,channel_local,line_clean,13.843409,16.625000000000004,2.781591000000004,2.781591000000004,1.6510593891143799,2.106773853302002,0.45571446418762207,,,92
train_000027,teager_energy,channel_local,all,13.843409,15.625000000000002,1.7815910000000024,1.7815910000000024,1.0751407146453857,0.9799232482910156,-0.09521746635437012,0.0,0.2323598861694336,92
train_000027,teager_energy,channel_local,line_clean,13.843409,15.625000000000002,1.7815910000000024,1.7815910000000024,1.0751407146453857,0.9799232482910156,-0.09521746635437012,,,92
train_000027,kurtosis,channel_local,all,13.843409,15.000000000000002,1.1565910000000024,1.1565910000000024,1.484047770500183,1.8088102340698242,0.3247624635696411,0.0,-0.6049227714538574,92
train_000027,kurtosis,channel_local,line_clean,13.843409,15.000000000000002,1.1565910000000024,1.1565910000000024,1.484047770500183,1.8088102340698242,0.3247624635696411,,,92
train_000027,beta_power,channel_local,all,13.843409,15.125000000000002,1.2815910000000024,1.2815910000000024,1.1659913063049316,1.1547077894210815,-0.011283516883850098,4.0,2.2514222860336304,92
train_000027,beta_power,channel_local,line_clean,13.843409,15.125000000000002,1.2815910000000024,1.2815910000000024,1.1659913063049316,1.1547077894210815,-0.011283516883850098,,,92
train_000027,low_gamma_power,channel_local,all,13.843409,15.625000000000002,1.7815910000000024,1.7815910000000024,1.186434268951416,1.5800256729125977,0.39359140396118164,5.0,3.3363418579101562,92
train_000027,low_gamma_power,channel_local,line_clean,13.843409,15.625000000000002,1.7815910000000024,1.7815910000000024,1.186434268951416,1.5800256729125977,0.39359140396118164,,,92
train_000027,high_gamma_power,channel_local,all,13.843409,14.000000000000002,0.15659100000000237,0.15659100000000237,0.6952776908874512,0.5752775073051453,-0.12000018358230591,4.0,1.3526220321655273,92
train_000027,high_gamma_power,channel_local,line_clean,13.843409,14.000000000000002,0.15659100000000237,0.15659100000000237,0.6952776908874512,0.5752775073051453,-0.12000018358230591,,,92
