feature,relative_time_bin,median,q25,q75,n
beta_power,-4.875,-0.15884900093078613,-0.2822940945625305,0.2728477716445923,5
beta_power,-4.75,-0.15884900093078613,-0.3697590231895447,0.023346006870269775,5
beta_power,-4.625,0.0,-0.4322473406791687,0.5267834067344666,5
beta_power,-4.5,0.023346006870269775,-0.7075441479682922,0.6578921675682068,5
beta_power,-4.375,0.1338328719139099,-0.7075441479682922,0.8794410824775696,5
beta_power,-4.25,-0.01281195878982544,-0.5799950957298279,0.8794410824775696,5
beta_power,-4.125,0.06087136268615723,-0.01281195878982544,1.281749188899994,5
beta_power,-4.0,0.09389883279800415,0.06467682123184204,0.10785901546478271,5
beta_power,-3.875,0.15283238887786865,0.051883697509765625,0.15655404329299927,5
beta_power,-3.75,0.09389883279800415,0.0,0.10785901546478271,5
beta_power,-3.625,-0.11235177516937256,-0.21483755111694336,-0.11170703172683716,5
beta_power,-3.5,-0.21483755111694336,-0.4726907014846802,-0.1530836820602417,5
beta_power,-3.375,1.1400451064109802,-0.1530836820602417,1.762252390384674,5
beta_power,-3.25,1.1400451064109802,-0.13892555236816406,2.011536657810211,5
beta_power,-3.125,0.1182602047920227,-0.13892555236816406,0.7247852087020874,5
beta_power,-3.0,-0.22084134817123413,-0.3742893636226654,0.18695300817489624,5
beta_power,-2.875,-0.22084134817123413,-0.3742893636226654,-0.2134413719177246,5
beta_power,-2.75,-0.34886616468429565,-0.37814319133758545,-0.21963965892791748,5
beta_power,-2.625,-0.34886616468429565,-0.37814319133758545,-0.21963965892791748,5
beta_power,-2.5,0.22724753618240356,-0.40741437673568726,0.27762240171432495,5
beta_power,-2.375,0.27762240171432495,-0.40741437673568726,0.4230835437774658,5
beta_power,-2.25,0.12150406837463379,-0.5316000580787659,0.16659945249557495,5
beta_power,-2.125,0.11319994926452637,0.08401364088058472,0.1663159728050232,5
beta_power,-2.0,0.08401364088058472,0.0,0.1663159728050232,5
beta_power,-1.875,-0.49279406666755676,-0.8775216341018677,-0.12364405393600464,5
beta_power,-1.75,-0.49279406666755676,-0.8775216341018677,0.12292951345443726,5
beta_power,-1.625,0.12292951345443726,-0.8765197396278381,0.20425516366958618,5
beta_power,-1.5,-0.34726184606552124,-0.6562148928642273,0.00040411949157714844,5
beta_power,-1.375,-0.4692889451980591,-0.6562148928642273,0.00040411949157714844,5
beta_power,-1.25,-0.06893348693847656,-0.1301705241203308,0.00040411949157714844,5
beta_power,-1.125,-0.1301705241203308,-0.148260235786438,-0.06893348693847656,5
beta_power,-1.0,-0.28498077392578125,-0.6953478455543518,-0.2640502452850342,5
beta_power,-0.875,-0.40478360652923584,-0.753214418888092,-0.148260235786438,5
beta_power,-0.75,-0.2561604976654053,-0.718109667301178,-0.06079334020614624,5
beta_power,-0.625,-0.14844858646392822,-0.1847781538963318,0.14040595293045044,5
beta_power,-0.5,-0.04135996103286743,-0.041488587856292725,0.3183872103691101,5
beta_power,-0.375,0.14168423414230347,0.13649064302444458,0.29682809114456177,5
beta_power,-0.25,0.14168423414230347,0.13649064302444458,0.29682809114456177,5
beta_power,-0.125,-0.9439407885074615,-1.0238355994224548,0.042251765727996826,5
beta_power,0.0,-0.9439407885074615,-1.228208839893341,-0.3692556917667389,5
beta_power,0.125,-0.7188357766717672,-1.1387958824634552,-0.3692556917667389,5
beta_power,0.25,-0.8016391545534134,-0.8225191235542297,-0.2209429144859314,5
beta_power,0.375,-0.6887683272361755,-0.784230649471283,-0.5722952485084534,5
beta_power,0.5,-0.5554967522621155,-0.5722952485084534,-0.26246321201324463,5
beta_power,0.625,-0.25904232263565063,-0.4756946563720703,-0.25699949264526367,5
beta_power,0.75,-0.04617267847061157,-0.10021471977233887,0.06848245859146118,5
beta_power,0.875,-0.10021471977233887,-0.13816648721694946,-0.04617267847061157,5
beta_power,1.0,-0.419428288936615,-0.5618361830711365,-0.38172727823257446,5
beta_power,1.125,-0.38172727823257446,-0.419428288936615,-0.14396876096725464,5
beta_power,1.25,-0.21834534406661987,-0.3755432963371277,0.20754116773605347,5
beta_power,1.375,-0.21834534406661987,-0.3755432963371277,0.552097737789154,5
beta_power,1.5,-0.21834534406661987,-0.3755432963371277,0.552097737789154,5
beta_power,1.625,-0.5268158316612244,-0.530236542224884,0.34163016080856323,5
beta_power,1.75,-0.5268158316612244,-0.7200406789779663,0.2894544005393982,5
beta_power,1.875,-0.803072988986969,-0.8065595626831055,0.2894544005393982,5
beta_power,2.0,-0.6509588956832886,-0.803072988986969,0.43809646368026733,5
beta_power,2.125,-0.4841498136520386,-0.5293837189674377,0.9915511012077332,5
beta_power,2.25,-0.4841498136520386,-0.5130842924118042,1.3070968985557556,5
beta_power,2.375,-0.4835634231567383,-0.5130842924118042,1.3070968985557556,5
beta_power,2.5,-0.43095093965530396,-0.7976546883583069,0.598714292049408,5
beta_power,2.625,-0.28963446617126465,-0.7976546883583069,0.598714292049408,5
beta_power,2.75,-0.28963446617126465,-0.30438220500946045,0.8471227288246155,5
beta_power,2.875,0.3615427613258362,-0.30438220500946045,1.0885825753211975,5
beta_power,3.0,0.3615427613258362,-0.5543215870857239,1.0885825753211975,5
beta_power,3.125,-0.2102089524269104,-0.6841843724250793,1.0885825753211975,5
beta_power,3.25,-0.2102089524269104,-0.6841843724250793,1.6688713431358337,5
beta_power,3.375,-0.027300536632537842,-0.4248082637786865,1.0315588116645813,5
beta_power,3.5,-0.3915662169456482,-0.41686126589775085,0.3718826174736023,5
beta_power,3.625,-0.17549526691436768,-0.3643755316734314,0.5615310072898865,5
beta_power,3.75,-0.17549526691436768,-0.3643755316734314,0.5615310072898865,5
beta_power,3.875,1.1671727299690247,0.3934062123298645,1.3857132196426392,5
beta_power,4.0,1.8777297139167786,0.12854689359664917,2.0179864168167114,5
beta_power,4.125,2.0179864168167114,0.33708661794662476,3.0600603222846985,5
beta_power,4.25,1.9222980737686157,0.12854689359664917,3.0600603222846985,5
beta_power,4.375,-0.012640297412872314,-0.026247680187225342,0.04586172103881836,5
beta_power,4.5,-0.012640297412872314,-0.026247680187225342,0.04586172103881836,5
beta_power,4.625,0.21695023775100708,0.167000412940979,0.5753872990608215,5
beta_power,4.75,0.34485745429992676,0.28419238328933716,0.5753872990608215,5
beta_power,4.875,0.34485745429992676,0.30668050050735474,0.44935256242752075,5
fast_ripple_power,-4.875,-0.299734890460968,-2.98408704996109,0.037623077630996704,5
fast_ripple_power,-4.75,-0.22292059659957886,-1.9871257543563843,0.467899888753891,5
fast_ripple_power,-4.625,-0.22292059659957886,-1.8703994750976562,0.794892281293869,5
fast_ripple_power,-4.5,-0.22292059659957886,-1.490863561630249,0.03879852779209614,5
fast_ripple_power,-4.375,-0.5304957032203674,-1.383193016052246,-0.3132369630038738,5
fast_ripple_power,-4.25,-0.6610627621412277,-0.8551383018493652,-0.3132369630038738,5
fast_ripple_power,-4.125,-0.3132369630038738,-0.35509443283081055,-0.2213916778564453,5
fast_ripple_power,-4.0,-0.23622924089431763,-0.35358695313334465,0.18817400932312012,5
fast_ripple_power,-3.875,-0.23622924089431763,-0.3669602982699871,0.18817400932312012,5
fast_ripple_power,-3.75,-0.1272781789302826,-0.21508878469467163,0.004883766174316406,5
fast_ripple_power,-3.625,-0.03921156004071236,-0.03987666964530945,0.004883766174316406,5
fast_ripple_power,-3.5,0.17100286483764648,-0.03921156004071236,0.24782276153564453,5
fast_ripple_power,-3.375,0.17100286483764648,-0.0628812313079834,0.24782276153564453,5
fast_ripple_power,-3.25,0.0,-0.004883766174316406,0.0,5
fast_ripple_power,-3.125,0.01747709885239601,0.0,0.34294936060905457,5
fast_ripple_power,-3.0,0.19458484649658203,0.06389930285513401,0.2202599048614502,5
fast_ripple_power,-2.875,0.33426856994628906,0.2202599048614502,0.7986572571098804,5
fast_ripple_power,-2.75,0.3669915199279785,0.24726104736328125,1.0037257671356201,5
fast_ripple_power,-2.625,1.070751667022705,1.0037257671356201,1.0821325778961182,5
fast_ripple_power,-2.5,1.070751667022705,1.006117194890976,1.0821325778961182,5
fast_ripple_power,-2.375,0.3296467065811157,0.017821073532104492,0.5646633096039295,5
fast_ripple_power,-2.25,0.05622883513569832,-0.8276729583740234,0.25610804557800293,5
fast_ripple_power,-2.125,-0.06416359543800354,-0.9112935066223145,-0.0023865625262260437,5
fast_ripple_power,-2.0,-0.06416359543800354,-0.9715468883514404,-0.0023865625262260437,5
fast_ripple_power,-1.875,-0.022115439176559448,-1.190039873123169,-0.0023865625262260437,5
fast_ripple_power,-1.75,-0.22077972814440727,-1.190039873123169,0.17604553699493408,5
fast_ripple_power,-1.625,-0.2347649149596691,-1.2002630233764648,0.1370992660522461,5
fast_ripple_power,-1.5,-0.22077972814440727,-1.4359281063079834,-0.1955939531326294,5
fast_ripple_power,-1.375,-0.3309488892555237,-1.4917773008346558,-0.24536741897463799,5
fast_ripple_power,-1.25,-0.4019850008189678,-1.7118144035339355,-0.3309488892555237,5
fast_ripple_power,-1.125,-0.4136646203696728,-1.9903234243392944,-0.3926596939563751,5
fast_ripple_power,-1.0,-0.4136646203696728,-2.566971004009247,-0.3926596939563751,5
fast_ripple_power,-0.875,-0.4136646203696728,-3.021246999502182,-0.27049461007118225,5
fast_ripple_power,-0.75,-0.4447166137397289,-3.021246999502182,-0.27049461007118225,5
fast_ripple_power,-0.625,-0.3748747818171978,-2.808171570301056,-0.15705004334449768,5
fast_ripple_power,-0.5,-0.3748747818171978,-2.426498055458069,-0.16206422448158264,5
fast_ripple_power,-0.375,-0.15705004334449768,-2.3441919088363647,0.03193168714642525,5
fast_ripple_power,-0.25,0.03828394412994385,-2.1586453914642334,0.23764314129948616,5
fast_ripple_power,-0.125,0.03828394412994385,-2.324193239212036,0.44765882566571236,5
fast_ripple_power,0.0,-0.01670852303504944,-2.324193239212036,0.10640883445739746,5
fast_ripple_power,0.125,-0.2899337708950043,-3.4369251281023026,0.49852848052978516,5
fast_ripple_power,0.25,-0.2899337708950043,-3.6303499042987823,0.6552127599716187,5
fast_ripple_power,0.375,-0.35670405626296997,-3.6303499042987823,1.0416700839996338,5
fast_ripple_power,0.5,-0.35670405626296997,-3.616767466068268,-0.2146548144519329,5
fast_ripple_power,0.625,-0.2146548144519329,-3.616767466068268,-0.15588542819023132,5
fast_ripple_power,0.75,-0.31283266469836235,-3.6333024203777313,-0.043777257204055786,5
fast_ripple_power,0.875,-0.31283266469836235,-3.711051195859909,0.4476942718029022,5
fast_ripple_power,1.0,-0.31283266469836235,-3.711051195859909,0.4476942718029022,5
fast_ripple_power,1.125,-0.29966214299201965,-3.711051195859909,-0.22948596999049187,5
fast_ripple_power,1.25,-0.3254757821559906,-3.4192157611250877,0.2377244271337986,5
fast_ripple_power,1.375,-0.3254757821559906,-3.3487420454621315,0.2377244271337986,5
fast_ripple_power,1.5,-0.3990027904510498,-3.3324535340070724,0.2377244271337986,5
fast_ripple_power,1.625,-0.2710358202457428,-3.3324535340070724,1.0057542324066162,5
fast_ripple_power,1.75,-0.2356586754322052,-3.573000706732273,0.8186537027359009,5
fast_ripple_power,1.875,0.34149083495140076,-3.9247086942195892,0.8186537027359009,5
fast_ripple_power,2.0,0.34149083495140076,-3.9247086942195892,0.6441336870193481,5
fast_ripple_power,2.125,0.49057793617248535,-3.6111541390419006,0.6803984344005585,5
fast_ripple_power,2.25,0.3992309272289276,-3.524270288646221,0.49057793617248535,5
fast_ripple_power,2.375,0.06650356482714415,-3.4533345280215144,0.6803984344005585,5
fast_ripple_power,2.5,-0.3018778972327709,-3.524270288646221,0.8065662086009979,5
fast_ripple_power,2.625,-0.5362599901854992,-3.5947359055280685,0.5626980066299438,5
fast_ripple_power,2.75,-0.5362599901854992,-3.661390036344528,0.5626980066299438,5
fast_ripple_power,2.875,-0.4347432069480419,-3.661390036344528,0.6176839768886566,5
fast_ripple_power,3.0,-0.1318608932197094,-3.660404324531555,0.7259683609008789,5
fast_ripple_power,3.125,0.049109697341918945,-3.534988150000572,0.6274775266647339,5
fast_ripple_power,3.25,0.049109697341918945,-3.3218733221292496,0.6274775266647339,5
fast_ripple_power,3.375,0.335061002522707,-3.3218733221292496,0.8375633955001831,5
fast_ripple_power,3.5,0.8527187295258045,-3.4692055471241474,1.0739622116088867,5
fast_ripple_power,3.625,1.0401557385921478,-3.8194823265075684,1.2409613132476807,5
fast_ripple_power,3.75,0.865913599729538,-3.8194823265075684,1.0739622116088867,5
fast_ripple_power,3.875,0.8389444053173065,-3.755907356739044,1.0392146110534668,5
fast_ripple_power,4.0,0.46384869888424873,-3.755907356739044,0.8389444053173065,5
