sample_id,feature,channel_set,onset_seconds,peak_change_seconds,signed_timing_error_seconds,absolute_timing_error_seconds,baseline_level,early_ictal_level,early_contrast,top10_overlap,top10_enrichment,channels_used
train_000027,line_length,all,13.843409,15.625000000000002,1.7815910000000024,1.7815910000000024,0.7869833707809448,1.1275768280029297,0.34059345722198486,1.0,0.15171217918395996,92
train_000027,line_length,line_clean,13.843409,15.625000000000002,1.7815910000000024,1.7815910000000024,0.7869833707809448,1.1275768280029297,0.34059345722198486,,,92
train_000027,rms_change,all,13.843409,16.625000000000004,2.781591000000004,2.781591000000004,1.6510593891143799,2.106773853302002,0.45571446418762207,0.0,-0.11611795425415039,92
train_000027,rms_change,line_clean,13.843409,16.625000000000004,2.781591000000004,2.781591000000004,1.6510593891143799,2.106773853302002,0.45571446418762207,,,92
train_000027,teager_energy,all,13.843409,15.625000000000002,1.7815910000000024,1.7815910000000024,1.0751407146453857,0.9799232482910156,-0.09521746635437012,0.0,0.2323598861694336,92
train_000027,teager_energy,line_clean,13.843409,15.625000000000002,1.7815910000000024,1.7815910000000024,1.0751407146453857,0.9799232482910156,-0.09521746635437012,,,92
train_000027,kurtosis,all,13.843409,15.000000000000002,1.1565910000000024,1.1565910000000024,1.484047770500183,1.8088102340698242,0.3247624635696411,0.0,-0.6049227714538574,92
train_000027,kurtosis,line_clean,13.843409,15.000000000000002,1.1565910000000024,1.1565910000000024,1.484047770500183,1.8088102340698242,0.3247624635696411,,,92
train_000027,beta_power,all,13.843409,15.125000000000002,1.2815910000000024,1.2815910000000024,1.1659913063049316,1.1547077894210815,-0.011283516883850098,4.0,2.2514222860336304,92
train_000027,beta_power,line_clean,13.843409,15.125000000000002,1.2815910000000024,1.2815910000000024,1.1659913063049316,1.1547077894210815,-0.011283516883850098,,,92
train_000027,low_gamma_power,all,13.843409,15.625000000000002,1.7815910000000024,1.7815910000000024,1.186434268951416,1.5800256729125977,0.39359140396118164,5.0,3.3363418579101562,92
train_000027,low_gamma_power,line_clean,13.843409,15.625000000000002,1.7815910000000024,1.7815910000000024,1.186434268951416,1.5800256729125977,0.39359140396118164,,,92
train_000027,high_gamma_power,all,13.843409,14.000000000000002,0.15659100000000237,0.15659100000000237,0.6952776908874512,0.5752775073051453,-0.12000018358230591,4.0,1.3526220321655273,92
train_000027,high_gamma_power,line_clean,13.843409,14.000000000000002,0.15659100000000237,0.15659100000000237,0.6952776908874512,0.5752775073051453,-0.12000018358230591,,,92
train_000027,ripple_power,all,13.843409,14.000000000000002,0.15659100000000237,0.15659100000000237,0.38370588421821594,0.009570077061653137,-0.3741358071565628,0.0,-0.5630242824554443,92
train_000027,ripple_power,line_clean,13.843409,14.000000000000002,0.15659100000000237,0.15659100000000237,0.38370588421821594,0.009570077061653137,-0.3741358071565628,,,92
train_000027,fast_ripple_power,all,13.843409,14.000000000000002,0.15659100000000237,0.15659100000000237,0.47377631068229675,0.17911694943904877,-0.294659361243248,1.0,-0.4757509231567383,92
train_000027,fast_ripple_power,line_clean,13.843409,14.000000000000002,0.15659100000000237,0.15659100000000237,0.47377631068229675,0.17911694943904877,-0.294659361243248,,,92
train_000027,high_low_ratio,all,13.843409,14.125000000000002,0.28159100000000237,0.28159100000000237,1.2021052837371826,1.3601610660552979,0.15805578231811523,3.0,0.686976432800293,92
train_000027,high_low_ratio,line_clean,13.843409,14.125000000000002,0.28159100000000237,0.28159100000000237,1.2021052837371826,1.3601610660552979,0.15805578231811523,,,92
train_000027,low_frequency_suppression,all,13.843409,14.125000000000002,0.28159100000000237,0.28159100000000237,1.223171591758728,1.5946416854858398,0.3714700937271118,1.0,-0.18529939651489258,92
train_000027,low_frequency_suppression,line_clean,13.843409,14.125000000000002,0.28159100000000237,0.28159100000000237,1.223171591758728,1.5946416854858398,0.3714700937271118,,,92
train_000027,spectral_centroid,all,13.843409,14.125000000000002,0.28159100000000237,0.28159100000000237,1.666907548904419,2.452381134033203,0.7854735851287842,2.0,1.0026965141296387,92
train_000027,spectral_centroid,line_clean,13.843409,14.125000000000002,0.28159100000000237,0.28159100000000237,1.666907548904419,2.452381134033203,0.7854735851287842,,,92
train_000027,spectral_entropy_change,all,13.843409,14.125000000000002,0.28159100000000237,0.28159100000000237,1.609522819519043,1.790817379951477,0.18129456043243408,1.0,0.4578206539154053,92
train_000027,spectral_entropy_change,line_clean,13.843409,14.125000000000002,0.28159100000000237,0.28159100000000237,1.609522819519043,1.790817379951477,0.18129456043243408,,,92
train_000027,rhythmicity,all,13.843409,16.500000000000004,2.656591000000004,2.656591000000004,1.146986722946167,0.9119191765785217,-0.23506754636764526,0.0,-0.3085517883300781,92
train_000027,rhythmicity,line_clean,13.843409,16.500000000000004,2.656591000000004,2.656591000000004,1.146986722946167,0.9119191765785217,-0.23506754636764526,,,92
train_000027,multiband_fast_activity,all,13.843409,15.125000000000002,1.2815910000000024,1.2815910000000024,0.7346705198287964,1.1044049263000488,0.36973440647125244,6.0,2.017714023590088,92
train_000027,multiband_fast_activity,line_clean,13.843409,15.125000000000002,1.2815910000000024,1.2815910000000024,0.7346705198287964,1.1044049263000488,0.36973440647125244,,,92
train_000027,fast_suppression_joint,all,13.843409,14.000000000000002,0.15659100000000237,0.15659100000000237,0.4445074498653412,0.4910086393356323,0.04650118947029114,3.0,0.8207418918609619,92
train_000027,fast_suppression_joint,line_clean,13.843409,14.000000000000002,0.15659100000000237,0.15659100000000237,0.4445074498653412,0.4910086393356323,0.04650118947029114,,,92
train_000027,physiology_composite,all,13.843409,14.125000000000002,0.28159100000000237,0.28159100000000237,0.7360324859619141,0.9610146880149841,0.22498220205307007,3.0,0.6844115257263184,92
train_000027,physiology_composite,line_clean,13.843409,14.125000000000002,0.28159100000000237,0.28159100000000237,0.7360324859619141,0.9610146880149841,0.22498220205307007,,,92
